GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1400000US25017368902,25017368902,"Census Tract 3689.02, Middlesex County, Massachusetts",1285,98,24,24,143,82,147,79,128,76,95,62,83,45,55,37,66,41,515,133,29,25
1400000US25017369000,25017369000,"Census Tract 3690, Middlesex County, Massachusetts",108,48,15,20,5,7,19,20,0,12,0,12,40,38,0,12,0,12,19,24,10,11
1400000US25017369100,25017369100,"Census Tract 3691, Middlesex County, Massachusetts",251,78,0,12,30,28,28,27,60,58,13,21,10,15,0,12,11,17,55,38,44,33
1400000US25017370101,25017370101,"Census Tract 3701.01, Middlesex County, Massachusetts",1083,203,7,13,95,67,156,91,101,82,110,92,215,111,96,63,175,141,128,78,0,17
1400000US25017370102,25017370102,"Census Tract 3701.02, Middlesex County, Massachusetts",1806,232,14,21,152,120,323,139,305,157,156,99,261,132,105,69,126,93,305,144,59,49
1400000US25017370201,25017370201,"Census Tract 3702.01, Middlesex County, Massachusetts",643,119,39,37,83,76,122,68,97,52,60,32,18,21,32,29,8,13,120,86,64,58
1400000US25017370202,25017370202,"Census Tract 3702.02, Middlesex County, Massachusetts",675,143,0,12,216,99,61,36,128,78,0,12,87,58,72,82,32,36,54,50,25,27
1400000US25017370300,25017370300,"Census Tract 3703, Middlesex County, Massachusetts",1405,190,65,62,176,97,271,106,138,75,150,80,98,66,25,36,149,109,269,129,64,57
1400000US25017370400,25017370400,"Census Tract 3704, Middlesex County, Massachusetts",1247,163,129,91,205,133,330,142,145,119,151,80,72,74,26,31,87,86,86,56,16,26
1400000US25017373100,25017373100,"Census Tract 3731, Middlesex County, Massachusetts",1057,159,29,36,70,38,145,98,111,81,50,50,68,56,23,27,157,115,375,146,29,34
1400000US25017373200,25017373200,"Census Tract 3732, Middlesex County, Massachusetts",939,159,21,21,84,40,108,52,136,69,70,47,113,72,76,68,78,57,118,57,135,105
1400000US25017373300,25017373300,"Census Tract 3733, Middlesex County, Massachusetts",535,90,67,62,7,12,74,41,79,49,75,51,26,31,38,31,57,61,104,76,8,12
