GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied (dollars),Margin of Error; Owner occupied (dollars),Estimate; Renter occupied (dollars),Margin of Error; Renter occupied (dollars)
1400000US25021419700,25021419700,"Census Tract 4197, Norfolk County, Massachusetts",70625,8304,83813,15204,27750,11749
1400000US25021419800,25021419800,"Census Tract 4198, Norfolk County, Massachusetts",66712,7460,69500,7347,59128,12789
1400000US25021420100,25021420100,"Census Tract 4201, Norfolk County, Massachusetts",76750,13169,75750,12673,82333,56696
1400000US25021420201,25021420201,"Census Tract 4202.01, Norfolk County, Massachusetts",73362,12704,89828,14667,19222,3019
1400000US25021420202,25021420202,"Census Tract 4202.02, Norfolk County, Massachusetts",68626,6246,74152,10185,61875,22901
1400000US25021420301,25021420301,"Census Tract 4203.01, Norfolk County, Massachusetts",69938,14190,87422,7537,28859,12254
1400000US25021420302,25021420302,"Census Tract 4203.02, Norfolk County, Massachusetts",73958,15595,88007,9252,31333,21803
1400000US25021421100,25021421100,"Census Tract 4211, Norfolk County, Massachusetts",54779,13066,62061,12370,33854,18093
1400000US25021421200,25021421200,"Census Tract 4212, Norfolk County, Massachusetts",81128,10248,84733,7367,60833,35185
1400000US25021422100,25021422100,"Census Tract 4221, Norfolk County, Massachusetts",96250,19578,107604,14729,71250,44612
1400000US25021422200,25021422200,"Census Tract 4222, Norfolk County, Massachusetts",57302,8416,75978,12086,42097,11752
1400000US25021422301,25021422301,"Census Tract 4223.01, Norfolk County, Massachusetts",73510,11470,76908,11658,50909,22392
1400000US25021422302,25021422302,"Census Tract 4223.02, Norfolk County, Massachusetts",78102,11728,94844,5774,54034,10790
1400000US25021422400,25021422400,"Census Tract 4224, Norfolk County, Massachusetts",62885,8030,77702,12077,45970,12044
1400000US25021422501,25021422501,"Census Tract 4225.01, Norfolk County, Massachusetts",60219,5580,86325,5128,40333,10839
1400000US25021422502,25021422502,"Census Tract 4225.02, Norfolk County, Massachusetts",55141,7903,63790,8105,38783,10055
1400000US25021422600,25021422600,"Census Tract 4226, Norfolk County, Massachusetts",80208,14728,93750,11927,36333,20958
1400000US25021422700,25021422700,"Census Tract 4227, Norfolk County, Massachusetts",67978,8912,78508,9273,38085,16999
1400000US25021422800,25021422800,"Census Tract 4228, Norfolk County, Massachusetts",62482,4620,68243,6752,52107,10628
1400000US25021423100,25021423100,"Census Tract 4231, Norfolk County, Massachusetts",112917,29758,129392,13188,56085,7813
1400000US25021440100,25021440100,"Census Tract 4401, Norfolk County, Massachusetts",70511,6731,74479,20468,57212,26910
1400000US25021441201,25021441201,"Census Tract 4412.01, Norfolk County, Massachusetts",80670,12854,102523,12180,23482,12473
1400000US25021441202,25021441202,"Census Tract 4412.02, Norfolk County, Massachusetts",134500,15445,137407,10361,56250,31718
1400000US25021442101,25021442101,"Census Tract 4421.01, Norfolk County, Massachusetts",86786,9442,93156,7184,47546,17697
1400000US25021442102,25021442102,"Census Tract 4421.02, Norfolk County, Massachusetts",81734,7285,86337,11302,34444,32669
1400000US25021442103,25021442103,"Census Tract 4421.03, Norfolk County, Massachusetts",113551,15379,113920,15748,-,**
1400000US25021442200,25021442200,"Census Tract 4422, Norfolk County, Massachusetts",81356,6141,102083,7450,41211,7612
1400000US25021443101,25021443101,"Census Tract 4431.01, Norfolk County, Massachusetts",79594,7635,84760,8483,55486,18887
1400000US25021443102,25021443102,"Census Tract 4431.02, Norfolk County, Massachusetts",73438,15324,85076,7498,21169,14660
1400000US25021456101,25021456101,"Census Tract 4561.01, Norfolk County, Massachusetts",88176,17195,93450,17997,32083,5585
1400000US25021456102,25021456102,"Census Tract 4561.02, Norfolk County, Massachusetts",65104,14294,83542,12644,44205,40086
1400000US25021456200,25021456200,"Census Tract 4562, Norfolk County, Massachusetts",63484,3749,67227,11238,14740,6524
1400000US25021456300,25021456300,"Census Tract 4563, Norfolk County, Massachusetts",51250,11085,68617,5268,26356,7320
1400000US25021456401,25021456401,"Census Tract 4564.01, Norfolk County, Massachusetts",56771,12823,62361,15613,19286,78991
1400000US25021456402,25021456402,"Census Tract 4564.02, Norfolk County, Massachusetts",86000,8977,92951,14078,30096,20762
1400000US25021457100,25021457100,"Census Tract 4571, Norfolk County, Massachusetts",60933,6373,71875,29855,49107,19979
1400000US25025000000,25025000000,"Census Tract 0, Suffolk County, Massachusetts",-,**,-,**,-,**
1400000US25025000100,25025000100,"Census Tract 1, Suffolk County, Massachusetts",56849,10615,75380,12440,49688,14307
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",67957,6394,68831,12880,64353,8632
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",64053,20235,96121,26028,49504,19812
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",79920,8094,84870,5846,78245,2241
