GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US25021412100,25021412100,"Census Tract 4121, Norfolk County, Massachusetts",5891,185,5532,278,23,39,0,127,196,148,0,127,0,127,140,113,0,127,140,113
1400000US25021412200,25021412200,"Census Tract 4122, Norfolk County, Massachusetts",3807,223,3665,243,13,22,0,127,81,119,6,9,12,19,30,46,0,127,30,46
1400000US25021412300,25021412300,"Census Tract 4123, Norfolk County, Massachusetts",4258,196,4001,248,51,82,0,127,135,129,0,127,20,31,51,69,0,127,51,69
1400000US25021413100,25021413100,"Census Tract 4131, Norfolk County, Massachusetts",5602,372,5010,388,174,130,0,127,288,291,0,127,80,92,50,52,0,127,50,52
1400000US25021413200,25021413200,"Census Tract 4132, Norfolk County, Massachusetts",6152,433,5407,481,368,260,0,127,113,89,0,127,143,113,121,127,13,21,108,124
1400000US25021413300,25021413300,"Census Tract 4133, Norfolk County, Massachusetts",4787,238,4254,301,174,119,0,127,226,158,0,127,107,124,26,44,0,127,26,44
1400000US25021413400,25021413400,"Census Tract 4134, Norfolk County, Massachusetts",7512,451,5834,433,233,157,0,127,847,281,0,127,399,292,199,176,7,14,192,173
1400000US25021413500,25021413500,"Census Tract 4135, Norfolk County, Massachusetts",4289,427,3467,391,95,80,0,127,136,94,0,127,553,353,38,52,25,39,13,20
1400000US25021414100,25021414100,"Census Tract 4141, Norfolk County, Massachusetts",5458,279,4130,289,443,265,0,127,681,153,101,148,0,127,103,109,0,127,103,109
1400000US25021414200,25021414200,"Census Tract 4142, Norfolk County, Massachusetts",7435,243,6594,343,95,98,0,127,746,330,0,127,0,127,0,127,0,127,0,127
1400000US25021414300,25021414300,"Census Tract 4143, Norfolk County, Massachusetts",4472,264,4053,297,66,67,0,127,151,101,0,127,35,43,167,102,31,32,136,93
1400000US25021415101,25021415101,"Census Tract 4151.01, Norfolk County, Massachusetts",4362,301,4094,320,16,25,33,37,181,99,0,127,8,13,30,27,0,127,30,27
1400000US25021415102,25021415102,"Census Tract 4151.02, Norfolk County, Massachusetts",7512,404,5879,479,927,448,0,127,449,222,0,127,144,121,113,112,0,127,113,112
1400000US25021415200,25021415200,"Census Tract 4152, Norfolk County, Massachusetts",6148,619,5363,655,411,160,0,127,271,111,0,127,0,127,103,98,0,127,103,98
