GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - Built 2010 or later,Margin of Error; Median gross rent -- - Total: - Built 2010 or later,Estimate; Median gross rent -- - Total: - Built 2000 to 2009,Margin of Error; Median gross rent -- - Total: - Built 2000 to 2009,Estimate; Median gross rent -- - Total: - Built 1990 to 1999,Margin of Error; Median gross rent -- - Total: - Built 1990 to 1999,Estimate; Median gross rent -- - Total: - Built 1980 to 1989,Margin of Error; Median gross rent -- - Total: - Built 1980 to 1989,Estimate; Median gross rent -- - Total: - Built 1970 to 1979,Margin of Error; Median gross rent -- - Total: - Built 1970 to 1979,Estimate; Median gross rent -- - Total: - Built 1960 to 1969,Margin of Error; Median gross rent -- - Total: - Built 1960 to 1969,Estimate; Median gross rent -- - Total: - Built 1950 to 1959,Margin of Error; Median gross rent -- - Total: - Built 1950 to 1959,Estimate; Median gross rent -- - Total: - Built 1940 to 1949,Margin of Error; Median gross rent -- - Total: - Built 1940 to 1949,Estimate; Median gross rent -- - Total: - Built 1939 or earlier,Margin of Error; Median gross rent -- - Total: - Built 1939 or earlier
1400000US25017356602,25017356602,"Census Tract 3566.02, Middlesex County, Massachusetts",1371,99,-,**,-,**,-,**,1375,337,1211,144,-,**,1193,418,1789,653,1405,145
1400000US25017356701,25017356701,"Census Tract 3567.01, Middlesex County, Massachusetts",1609,99,-,**,"2,000+",***,-,**,-,**,1347,188,1578,234,1452,168,1394,78,1748,126
1400000US25017356702,25017356702,"Census Tract 3567.02, Middlesex County, Massachusetts",1290,205,-,**,-,**,-,**,427,42,680,1113,727,986,964,617,1654,305,1444,155
1400000US25017357100,25017357100,"Census Tract 3571, Middlesex County, Massachusetts",1692,84,-,**,-,**,-,**,-,**,1716,68,1418,178,1802,134,-,**,1847,224
1400000US25017357200,25017357200,"Census Tract 3572, Middlesex County, Massachusetts",1804,107,-,**,-,**,-,**,-,**,1845,223,-,**,"2,000+",***,1813,172,1710,171
1400000US25017357300,25017357300,"Census Tract 3573, Middlesex County, Massachusetts",1731,52,-,**,-,**,-,**,-,**,1433,357,1542,428,1792,125,1647,215,1740,59
1400000US25017357400,25017357400,"Census Tract 3574, Middlesex County, Massachusetts",1741,96,-,**,-,**,-,**,-,**,-,**,-,**,-,**,2000,268,1716,106
1400000US25017357500,25017357500,"Census Tract 3575, Middlesex County, Massachusetts",1805,119,-,**,-,**,-,**,-,**,1441,245,1850,829,1650,535,1600,241,1894,144
1400000US25017357600,25017357600,"Census Tract 3576, Middlesex County, Massachusetts",1625,111,-,**,-,**,-,**,-,**,1313,1319,-,**,1712,105,1833,642,1565,200
1400000US25017357700,25017357700,"Census Tract 3577, Middlesex County, Massachusetts",1381,172,-,**,1500,355,-,**,-,**,-,**,393,2431,1750,1756,1358,113,1434,363
1400000US25017357800,25017357800,"Census Tract 3578, Middlesex County, Massachusetts",1075,837,-,**,-,**,197,1200,-,**,-,**,-,**,-,**,888,1505,1630,363
1400000US25017358100,25017358100,"Census Tract 3581, Middlesex County, Massachusetts",1660,280,-,**,-,**,-,**,-,**,-,**,1148,1013,"2,000+",***,-,**,1705,314
1400000US25017358300,25017358300,"Census Tract 3583, Middlesex County, Massachusetts",1947,262,-,**,"2,000+",***,"2,000+",***,1656,197,1758,272,-,**,-,**,-,**,"2,000+",***
1400000US25017358400,25017358400,"Census Tract 3584, Middlesex County, Massachusetts",1713,432,-,**,291,3174,-,**,376,34,-,**,-,**,"2,000+",***,1632,1302,"2,000+",***
1400000US25017358500,25017358500,"Census Tract 3585, Middlesex County, Massachusetts",1867,372,-,**,-,**,-,**,342,989,-,**,-,**,"2,000+",***,-,**,-,**
1400000US25017358600,25017358600,"Census Tract 3586, Middlesex County, Massachusetts",957,1143,-,**,391,2021,-,**,-,**,-,**,998,1392,-,**,-,**,-,**
1400000US25017358700,25017358700,"Census Tract 3587, Middlesex County, Massachusetts",1247,401,-,**,-,**,-,**,-,**,-,**,-,**,"2,000+",***,-,**,1292,561
1400000US25017359100,25017359100,"Census Tract 3591, Middlesex County, Massachusetts",1882,342,"2,000+",***,"2,000+",***,1211,328,1716,812,875,200,-,**,525,1272,-,**,-,**
1400000US25017359300,25017359300,"Census Tract 3593, Middlesex County, Massachusetts",1704,148,-,**,"2,000+",***,-,**,-,**,-,**,-,**,1529,236,-,**,1602,351
1400000US25017360100,25017360100,"Census Tract 3601, Middlesex County, Massachusetts","2,000+",***,"2,000+",***,"2,000+",***,"2,000+",***,1875,211,"2,000+",***,1833,172,"2,000+",***,-,**,-,**
1400000US25017360200,25017360200,"Census Tract 3602, Middlesex County, Massachusetts",1739,268,-,**,-,**,-,**,-,**,1440,485,1972,1403,-,**,-,**,"2,000+",***
1400000US25017361100,25017361100,"Census Tract 3611, Middlesex County, Massachusetts",1427,537,-,**,"2,000+",***,1188,388,"2,000+",***,1685,824,1250,567,-,**,-,**,-,**
1400000US25017361200,25017361200,"Census Tract 3612, Middlesex County, Massachusetts",1741,239,"2,000+",***,"2,000+",***,1625,470,1850,453,1114,327,1848,172,1618,466,-,**,1429,598
